Date,Open,High,Low,Close,Adj Close,Volume,Stock
1/26/2024,158.419998,160.720001,157.910004,159.119995,159.119995,51047400,AMZN
1/29/2024,159.339996,161.289993,158.899994,161.259995,161.259995,45270400,AMZN
1/30/2024,160.699997,161.729996,158.490005,159,159,45207400,AMZN
1/31/2024,157,159.009995,154.809998,155.199997,155.199997,50284400,AMZN
2/1/2024,155.869995,159.759995,155.619995,159.279999,159.279999,76542400,AMZN
2/2/2024,169.190002,172.5,167.330002,171.809998,171.809998,117154900,AMZN
2/5/2024,170.199997,170.550003,167.699997,170.309998,170.309998,55081300,AMZN
2/6/2024,169.389999,170.710007,167.649994,169.149994,169.149994,42505500,AMZN
2/7/2024,169.479996,170.880005,168.940002,170.529999,170.529999,47174100,AMZN
2/8/2024,169.649994,171.429993,168.880005,169.839996,169.839996,42316500,AMZN
2/9/2024,170.899994,175,170.580002,174.449997,174.449997,56986000,AMZN
2/12/2024,174.800003,175.389999,171.539993,172.339996,172.339996,51050400,AMZN
2/13/2024,167.729996,170.949997,165.75,168.639999,168.639999,56345100,AMZN
2/14/2024,169.210007,171.210007,168.279999,170.979996,170.979996,42815500,AMZN
2/15/2024,170.580002,171.169998,167.589996,169.800003,169.800003,49855200,AMZN
2/16/2024,168.740005,170.419998,167.169998,169.509995,169.509995,48074600,AMZN
2/20/2024,167.830002,168.710007,165.740005,167.080002,167.080002,41980300,AMZN
2/21/2024,168.940002,170.229996,167.139999,168.589996,168.589996,44575600,AMZN
2/22/2024,173.100006,174.800003,171.770004,174.580002,174.580002,55392400,AMZN
2/23/2024,174.279999,175.75,173.699997,174.990005,174.990005,59715200,AMZN
2/26/2024,175.699997,176.369995,174.259995,174.729996,174.729996,44368600,AMZN
2/27/2024,174.080002,174.619995,172.860001,173.539993,173.539993,31141700,AMZN
2/28/2024,172.440002,174.050003,172.270004,173.160004,173.160004,28180500,AMZN
2/29/2024,173.009995,177.220001,172.850006,176.759995,176.759995,53805400,AMZN
3/1/2024,176.75,178.729996,176.070007,178.220001,178.220001,31956200,AMZN
